system:index,CBI,def,dmirbi,dndvi,lat,post_mirbi,rbr,unique_id,.geo
00000000000000001dcd,1.4,145.0,111.0,129.0,30.0,2954.0,153.0,5093.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001dce,1.58,145.0,208.0,152.0,30.0,2968.0,101.0,5094.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001ddf,1.31,145.0,-59.0,116.0,30.0,2951.0,173.0,5111.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001de0,1.25,145.0,20.0,87.0,30.0,2955.0,106.0,5112.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001de1,1.35,145.0,79.0,102.0,30.0,2856.0,142.0,5113.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001de2,1.28,145.0,93.0,165.0,30.0,2992.0,181.0,5114.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001de3,1.15,145.0,157.0,172.0,30.0,2997.0,154.0,5115.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001df8,1.21,145.0,-58.0,136.0,30.0,2893.0,190.0,5136.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001df9,1.38,145.0,74.0,114.0,30.0,2945.0,136.0,5137.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001dfa,1.19,145.0,65.0,103.0,30.0,2865.0,147.0,5138.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001dfb,1.34,145.0,216.0,94.0,30.0,2874.0,130.0,5139.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001d2b,1.07,146.0,128.0,41.0,30.0,2809.0,84.0,4931.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001d2e,1.54,146.0,-58.0,-67.0,30.0,2758.0,-41.0,4934.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001d2f,1.7,146.0,3.0,-33.0,30.0,2774.0,-22.0,4935.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001d31,2.11,146.0,-48.0,-32.0,30.0,2798.0,9.0,4937.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001d32,1.99,146.0,-54.0,-42.0,30.0,2824.0,1.0,4938.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001d36,1.65,146.0,-2.0,-65.0,30.0,2866.0,-62.0,4942.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001d37,1.72,146.0,-33.0,-64.0,30.0,2877.0,-61.0,4943.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001d90,1.51,146.0,191.0,-41.0,30.0,2840.0,9.0,5032.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001dc6,1.65,146.0,19.0,135.0,30.0,2874.0,175.0,5086.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001dde,1.19,146.0,-97.0,138.0,30.0,2874.0,180.0,5110.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001df7,1.14,146.0,33.0,129.0,30.0,2874.0,145.0,5135.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001d27,1.96,147.0,41.0,231.0,30.0,2843.0,255.0,4927.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001d28,1.08,147.0,162.0,88.0,30.0,3035.0,98.0,4928.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001d29,1.7,147.0,203.0,86.0,30.0,2938.0,118.0,4929.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001d2a,1.67,147.0,188.0,75.0,30.0,2913.0,108.0,4930.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001d2c,1.48,147.0,146.0,109.0,30.0,2864.0,144.0,4932.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001d33,1.61,147.0,-39.0,-58.0,30.0,2820.0,-55.0,4939.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001d34,1.4,147.0,43.0,-75.0,30.0,2812.0,-74.0,4940.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001d35,1.4,147.0,-55.0,-63.0,30.0,2846.0,-64.0,4941.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001d85,1.95,147.0,189.0,-54.0,30.0,2877.0,26.0,5021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001d86,2.01,147.0,194.0,-47.0,30.0,2854.0,36.0,5022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001d87,2.06,147.0,196.0,-16.0,30.0,2909.0,62.0,5023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001d88,1.32,147.0,94.0,-32.0,30.0,3051.0,6.0,5024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001d89,1.73,147.0,243.0,-8.0,30.0,2804.0,8.0,5025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001d8a,1.76,147.0,149.0,-11.0,30.0,2848.0,40.0,5026.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001d8b,1.78,147.0,137.0,-7.0,30.0,2964.0,37.0,5027.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001d8c,0.97,147.0,155.0,-14.0,30.0,2983.0,24.0,5028.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001d8d,1.4,147.0,22.0,-9.0,30.0,2898.0,19.0,5029.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001d8e,1.57,147.0,100.0,11.0,30.0,2925.0,46.0,5030.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001d8f,1.76,147.0,132.0,-13.0,30.0,2892.0,42.0,5031.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001d91,1.74,147.0,142.0,-4.0,30.0,2940.0,52.0,5033.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001d92,1.61,147.0,94.0,-44.0,30.0,2935.0,17.0,5034.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001d98,1.92,147.0,88.0,7.0,30.0,2874.0,80.0,5040.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001d99,1.82,147.0,68.0,8.0,30.0,2881.0,67.0,5041.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001d9d,1.85,147.0,86.0,-32.0,30.0,2896.0,5.0,5045.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001d9e,1.98,147.0,216.0,-10.0,30.0,2831.0,55.0,5046.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001da0,1.2,147.0,140.0,-90.0,30.0,2902.0,-55.0,5048.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001da1,0.97,147.0,41.0,-47.0,30.0,3023.0,-28.0,5049.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001da2,1.29,147.0,127.0,-68.0,30.0,3026.0,-36.0,5050.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001da3,1.67,147.0,66.0,-46.0,30.0,2904.0,10.0,5051.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001d95,0.98,148.0,41.0,-40.0,30.0,2936.0,0.0,5037.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001d96,1.66,148.0,36.0,-24.0,30.0,2913.0,41.0,5038.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001d97,1.91,148.0,66.0,-9.0,30.0,2878.0,64.0,5039.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001d9a,1.5,148.0,83.0,-70.0,30.0,3031.0,-29.0,5042.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
